asset_id_base,rates
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AVT', 'rate': 24677.200474773483}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AXL', 'rate': 45094.80432277485}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AXS', 'rate': 3270.052770995847}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AXS3L', 'rate': 561439169.750725}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AXS3S', 'rate': 43973303.29975456}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AXS5L', 'rate': 225535.1077345818}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AXS5S', 'rate': 115566.79840017445}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AZERO', 'rate': 18497.75309587799}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AZY', 'rate': 2369854.0712481313}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'B2M', 'rate': 3178396.8295976827}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BAAS', 'rate': 47371237.31371187}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BABY', 'rate': 1479670.7855534283}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BABYDOGE', 'rate': 13484755090524.975}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BADGER', 'rate': 9418.598924567288}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BAKE', 'rate': 148107.4449078006}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BAKE3L', 'rate': 34833.79948695311}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BAL', 'rate': 4034.997019066482}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BAL3L', 'rate': 28444.403612802715}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BAL3S', 'rate': 34688.38425643379}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BAL5L', 'rate': 28455.275458998738}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BAL5S', 'rate': 36706.84350267473}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BANANA', 'rate': 482705.90748188074}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BAND', 'rate': 16280.094038590978}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BAND3L', 'rate': 28605.735730853186}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BAND3S', 'rate': 61411.76408253}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BASIC', 'rate': 18506352.394170098}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BAT', 'rate': 112197.51985308039}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BAX', 'rate': 37140530.28413076}"
